id,question,option1,option2,option3,option4,correctAnswer,rationale
Question 1,"A 38-year-old patient comes to clinic reporting months of fatigue, weakness, decreased appetite, weight loss, cold sensitivity, and a puffy face. She had pituitary surgery last year. Her blood pressure is low, serum sodium is low, potassium is high, and glucose is low. The nurse recognizes that the patient's hallmark findings are most consistent with hypopituitarism affecting ACTH production. Which explanation best connects the cause, hormone deficiency, body changes, and greatest complication risk?","Loss of anterior pituitary ACTH causes decreased cortisol and aldosterone effect, leading to hypoglycemia, hyponatremia, hypotension, and risk for circulatory collapse.","Loss of posterior pituitary ADH causes fluid retention, bradycardia, weight gain, and risk for myxedema coma.","Excess pituitary TSH causes low metabolism, hyperkalemia, and risk for thyroid storm.","Excess prolactin causes sodium loss, bone fractures, and risk for adrenal crisis.",A,"The lecture emphasized that low ACTH in hypopituitarism lowers glucocorticoid and mineralocorticoid support, causing hypoglycemia, hyponatremia, hypotension, hyperkalemia, and possible circulatory collapse."
Question 2,"A 46-year-old patient is being evaluated for infertility and chronic fatigue. She reports absent menstrual periods for months. Another patient in the same clinic, a male, reports infertility and low testosterone. The provider suspects pituitary dysfunction. Based on the lecture, which hormone problem best explains these reproductive findings and their effect on the body?",Excess ADH causing decreased ovulation in females and decreased sperm production in males,"Deficiency of LH and FSH causing altered reproductive function, including amenorrhea, decreased ovulation, decreased testosterone, and decreased sperm production",Excess T3 and T4 causing infertility through hypermetabolism alone,Deficiency of calcitonin causing reproductive organ failure,B,"The teacher stressed that pituitary gonadotropin deficiency alters sexual and reproductive function: low LH causes irregular menses or amenorrhea and low testosterone, while low FSH decreases estrogen/ovulation in females and sperm production in males."
Question 3,"A 55-year-old adult reports repeated fractures, muscle weakness, and gradual decline in mobility. The provider suspects a pituitary hormone deficiency rather than a primary orthopedic problem. Which hormone deficiency best matches the hallmark findings and why?","Growth hormone deficiency, because decreased GH lowers bone density and muscle strength and raises fracture risk","TSH deficiency, because low TSH directly causes tetany and laryngospasm","ACTH deficiency, because low ACTH directly causes kidney stones and osteoporosis","Prolactin excess, because prolactin thickens bones and compresses nerves",A,"The lecture repeatedly linked low growth hormone in hypopituitarism to decreased bone density, decreased muscle strength, and increased risk of fractures."
Question 4,"A patient with suspected pituitary dysfunction reports weight gain, thinning hair, and decreased libido. Lab work suggests low T3 and T4 due to inadequate stimulation from the pituitary. Which hormone deficiency is the best fit, and what body process is being affected most directly?","Low FSH, causing impaired calcium regulation","Low TSH, causing decreased metabolic rate","Low ADH, causing excessive water excretion","Low PTH, causing hypercalcemia",B,"The lecture connected low pituitary TSH with low T3/T4, decreased metabolic rate, weight gain, thinning hair, and decreased libido."
Question 5,"A patient with hyperpituitarism has hyperglycemia, hypertension, hypernatremia, and hypokalemia. The provider says the source is a hypersecreting pituitary tumor. Which overproduced hormone best explains the picture, and what is happening in the body?","Excess ACTH is driving glucocorticoid and mineralocorticoid effects, causing sodium and water retention, potassium loss, hyperglycemia, and hypertension","Excess GH is causing tetany, bradycardia, and low blood glucose",Excess TSH is causing bronzed skin and adrenal crisis,Excess ADH is causing dilute urine and hypernatremia,A,"The ACTH hyperpituitarism content lists increased glucocorticoids and mineralocorticoids with hyperglycemia, hypernatremia, hypertension, and hypokalemia."
Question 6,"A 42-year-old patient has progressively larger hands and feet, coarse facial features, headaches, numbness in the hands, and deep bone pain. Imaging suggests a pituitary tumor. Which condition best fits, and which complication from hormone overproduction is the nurse most alert for?","Acromegaly from excess growth hormone, with bone thickening and possible peripheral nerve compression","Myxedema from low thyroid hormone, with peripheral nerve compression from edema","Addison's disease from low cortisol, with nerve compression from dehydration","Hypoparathyroidism from low PTH, with nerve compression from hypocalcemia",A,"The lecture emphasized acromegaly in adults from excess GH, with coarse facial features, enlarged hands/feet, increased bone density, pain, and neurovascular compression symptoms."
Question 7,"After transsphenoidal hypophysectomy, a patient becomes tachycardic and hypotensive and begins producing large amounts of very dilute urine. Urine specific gravity is 1.003, serum sodium is rising, and the patient is extremely thirsty. Which postoperative complication is most likely, and what hormone problem caused it?",Thyroid storm caused by excess TSH release,Diabetes insipidus caused by lack of ADH,Myxedema coma caused by low T3 and T4,Adrenal crisis caused by excess cortisol loss,B,"The lecture strongly stressed post-op DI after pituitary surgery: lack of ADH leads to high urine output, low urine specific gravity, rising serum sodium, thirst, hypotension, and tachycardia."
Question 8,"A nurse is planning care for a patient after transsphenoidal hypophysectomy. The patient has nasal packing, dry mouth, and a risk of CSF leak and meningitis. Which teaching point best matches the lecture's priority concerns about hallmark postoperative complications?",Encourage coughing every 2 hours to clear secretions,"Use a soft toothbrush, avoid coughing, sneezing, or bending, and report increased clear nasal drainage",Drink only cold fluids for the first week and lie flat to reduce headache,Increase salt intake immediately to prevent hyperthyroidism,B,"The teacher emphasized soft toothbrush use, avoiding coughing, sneezing, and bending, and reporting clear drainage from the nose because of CSF leak and meningitis risk."
Question 9,"A 29-year-old patient with recent head trauma now has polyuria, polydipsia, nocturia, dehydration, high serum osmolality, and very dilute urine with a specific gravity below 1.005. Which diagnosis best explains the hallmark signs, and what is the key hormone deficiency?",Primary hyperparathyroidism caused by excess PTH,Diabetes insipidus caused by inadequate ADH effect,SIADH caused by excess ADH,Addison's disease caused by cortisol deficiency,B,"The lecture described DI as lack of ADH effect leading to significant water loss, polydipsia, polyuria, nocturia, low urine specific gravity, and concentrated serum."
Question 10,"A patient with central diabetes insipidus asks why desmopressin is prescribed. Which answer best reflects the lecture, including body changes and complication prevention?",It replaces thyroid hormone to prevent myxedema coma,"It acts like ADH to increase water reabsorption, reduce free-water loss, and prevent dehydration and hypovolemia",It increases cortisol production to prevent adrenal crisis,It lowers serum calcium to prevent kidney stones,B,Desmopressin was described as a synthetic analog of ADH that helps the kidneys reabsorb water and protects against dehydration and hypovolemia in DI.
